mb_sn,Q1,Q2,Q3,Q4,Q5,Q5_1,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11_1,Q11_2,Q12,Q12_1,Q12_1_ETC,Q12_2,Q12_2_ETC,Q13,Q13_ETC
w203582445395527,3,2,4,3,1,20,,,"1,2,3,4,5,6,7,8,9,,11,12,,,,16,,18,,,21,22,23,24,25,,27,28",2,2004,1,5,화물차,"1,,,4,",",,,,,,,,9,,,,,14,,,,,,,,,,,,,,,,",,",,,,",,",,3,4,,,,,,",
w229138211244486,1,,4,2,13,,2,8,"1,2,3,4,5,6,7,8,9,10,,12,13,,15,,17,18,19,,,22,23,,25,26,,",1,1006,1,혼다,혼다,"1,2,3,4,","1,2,3,4,5,,7,8,,,,,,,15,,17,18,,,,,,,,26,,,,",,",2,3,,",,"1,2,,,5,,7,8,,",
w30156647972815,2,,2,1,11,12,3,3,"1,2,3,,5,,,8,9,,,,,,15,,,,,,,,,,,,,",LgQ9화이브g,LgQ9화이브,1,24,현대포터,"1,,,,",",,,,,,,,,,,12,,,,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,,,,",
w343587674903470,1,,4,1,무직,무직,,,"1,2,3,4,5,6,7,8,9,,11,12,,,15,16,17,18,,20,,22,23,24,25,26,,",1,1002,1,아반떼,현대,"1,2,3,4,","1,,,,,,,,,,,,,,15,,,18,,,,,,,,,,,,",,",2,,,",,"1,2,,4,5,,7,,,",
w154856066234220,1,,5,1,7,12,1,9,"1,2,3,4,5,,,,,,11,,13,,15,,,18,,20,,22,23,,25,,,",1,1006,1,모름,하이브리드,"1,,3,,","1,2,,,5,,,,,,,,,,15,16,17,,,,,,,,,26,,,,",,",,,,",,"1,2,,,,,,,,",
w334451975260783,2,,2,3,14,,,,"1,2,3,4,5,,7,8,9,,,,,,,16,17,,,20,,22,,,25,26,,",2,2002,1,5,하이,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,6,,8,,",
w402095523921515,2,,5,3,1,8,4,,"1,2,3,4,5,9,11,12,20,22,23,24,25,26,",1,1007,1,5,,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,8,,",
w172119694871066,1,,3,4,2,9,3,3,"1,2,3,4,5,,7,,9,,,,,,15,,,,,,,22,23,,,,,",2,2007,1,피아트,피아트500x,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,,,4,,,,,,",
w401072656314696,1,,1,1,8,21,1,1,"1,2,3,4,5,,,8,,,,,,,,,,18,,,,,23,24,,,27,28",2,Budy3,1,14,프리티지,"1,,,,",",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w119442093681865,2,2,3,3,7,15,4,6,"1,2,3,4,5,,,,9,,11,,,,15,,,,,,,22,,24,25,26,,28",2,2007,1,1,프라이든,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w33619640097025,1,,3,2,7,12,3,6,"1,2,3,4,5,6,7,,9,,,,,,15,,,18,,20,,22,23,24,25,26,,28",2,2004,1,1,프라이드07년,"1,,,,",",,,,,,,,9,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w205954443602015,1,,1,1,7,12,3,3,",,,,,,,8,,,,,,,,,,18,,20,,22,,,25,,,28",2,2004,1,5,프라이드?,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,,3,,5,,7,8,,",
w101226763930855,2,1,3,3,1,19,4,7,"1,2,,4,5,,7,8,,10,11,12,,14,15,,17,18,,20,,22,23,24,25,26,27,28",2,S24 U,1,3,프라이드 ,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w61617513831327,2,1,3,1,5,13,5,5,"1,2,3,,5,,7,8,,,11,12,,,,,17,18,,,,22,23,,25,26,,28",2,2003,1,1,프라이드 ,"1,,,,","1,,,,5,,,8,9,10,,,,,,,,18,,,,,,,,,,,,",,",,,,",,"1,2,3,4,,,,,,",
w167227692867082,1,,5,1,8,무직,,,"1,2,3,4,5,,,8,,,11,,,,,,,18,,20,,22,23,,25,26,,28",2,2002,1,프라이드,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w337009880331846,2,2,4,1,7,12,3,6,"1,2,,4,5,,7,,,,,,,,15,,,18,,,,,23,,25,26,27,28",1,아이폰16플러스,1,1,프라이드,"1,2,3,,","1,2,3,,,,,,,,,,,,15,16,17,18,,,,,,,,26,27,28,,",,"1,2,3,,",,"1,2,3,4,,,7,,,",
w403695958700556,2,2,1,1,14,,,,"1,2,,4,5,,,,,,,,,,15,,,18,,,,,23,,25,26,27,28",1,아이폰16,1,1,프라이드,"1,2,3,,","1,2,3,4,,,,,,,,,,,15,16,17,18,,,,,,24,,26,27,28,,",,"1,2,3,,",,"1,,3,4,,,,,,",
w249129539805444,2,,2,3,15,,1,2,"1,2,3,4,5,,,8,9,,11,,,,,,,18,,,,,,24,,,,",2,,1,1,프라이드,"1,,,,",",,,,,,,,,10,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w255445636627113,1,,1,3,미화직,21,2,2,"1,,,,,,7,,9,,11,,,,,,,,,,,22,,,25,26,,",2,노트10플러스,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w308006672006013,1,,2,3,무직,,1,,"1,2,4,5,6,7,8,9,15,20,24,25,28",2,갤럭시 s24,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,,,,",
w32612752684,2,1,2,3,5,소매 ,3,3,"1,2,3,4,5,6,7,,9,,,,,,15,,,,,,,,,24,,,,",2,A12,1,1,프라이드,"1,,,,",",,,,,,,8,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w116758770135787,3,3,2,1,아파서 쉬고있,,1,2,"1,2,3,4,5,,7,8,9,,,,,,,,,18,,20,,22,,,25,,,",2,2006,1,1,프라이드,"1,,,,",",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w251165091458666,3,3,4,1,6,5,3,9,"1,2,3,4,5,6,7,8,9,10,11,,,,15,,17,,19,20,,22,23,,25,26,,",2,2005,1,1,프라이드,"1,2,3,,",",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",2,,,",,"1,2,3,,5,6,,,,",
w52987083043,2,2,4,3,4,19,4,7,"1,2,3,4,5,,7,8,9,,11,,,,,,17,18,,,,22,23,24,,26,,",2,2007,1,1,프라이드,"1,,,,","1,,,,,,,,9,,,,,,15,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,6,,,,",
w5601596261335,2,2,2,1,6,21,4,7,"1,,3,4,,,,,,,11,,,,,,,18,,,,,,24,,,,",2,2007,1,1,프라이드,"1,,,,",",,,,,,,,9,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w6563540962262,3,2,3,3,4,1,4,5,"1,2,3,4,5,6,,8,,10,11,12,,,15,16,17,18,19,20,,22,23,,25,26,,28",1,1006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,8,,",
w107778564101638,2,2,2,3,6,판매직,3,3,"1,2,,4,5,,7,,9,,11,,,,15,,,18,,20,,,,,25,,,",1,1001,1,1,프라이드,"1,,,,","1,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w153059172546077,2,2,4,1,14,,,,"1,2,3,4,5,6,,,9,,,12,,14,,,,,,20,,22,23,24,25,,,",2,2004,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,7,,,",
w196940566139039,2,2,2,1,8,21,3,4,"1,2,3,4,5,6,7,,9,,11,12,13,,15,,,18,,20,,,23,24,25,26,27,28",2,2003,1,1,프라이드,"1,,,,",",,,,,,,,,,,12,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,5,6,,,,",
w415367239274915,2,2,4,3,14,,2,5,"1,2,3,4,5,6,7,8,9,,,,,,,,,,,20,,22,23,,25,,,",2,2004,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w179172936021503,2,2,2,1,10,1,5,11,"1,2,3,4,5,,,8,9,,11,,,14,,,,18,,,,22,,24,,,,",3,3004,1,1,프라이드,"1,,,,",",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,,",
w265828788823269,2,2,4,4,3,16,6,6,"1,2,3,4,5,,,,9,,11,,,,15,,17,18,,20,,22,23,24,25,26,,28",2,2007,1,1,프라이드,"1,,,,",",,,,,,,,9,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w4919167725098,2,1,3,3,14,,1,5,"1,2,3,4,5,6,,8,9,,11,12,,,15,,,18,,20,,22,23,24,25,26,,28",2,2008,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",2,3,,,,,,,",
w207769010133849,3,1,1,1,14,,3,3,"1,2,3,4,5,6,7,8,9,,,,13,,15,,,18,,20,,22,23,24,25,,,28",2,2008,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,8,,",
w230992935681309,2,1,3,3,6,3,2,5,"1,2,,4,5,6,7,8,9,,11,,,14,15,,17,18,,20,,22,23,,25,,27,28",2,2002,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,8,,",
w242902677786467,2,1,3,3,7,2,2,4,"1,2,,4,5,6,7,,9,,,12,,,,,,18,,20,,,,24,25,,,28",2,2003,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,,,4,,,,,,",
w51171920718018,2,1,5,3,4,2,3,6,"1,2,3,4,5,,,,9,,11,12,,,,,,18,,20,,22,23,24,25,,,",2,2004,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,7,,,",
w10367043324570,2,,2,3,6,5,3,3,"1,2,,4,5,6,7,,,,11,12,,14,15,16,17,,19,20,,22,,24,25,,,",1,1003,1,1,프라이드,"1,,3,,","1,2,,,5,,,,,,,,,,15,16,17,18,,20,,,,24,,26,,,,",,",,,,",,",,,,,,,,,10",
w302385634949418,2,,2,4,14,,3,4,",2,,4,5,,7,,,,11,12,,,,,,18,,,,22,23,,25,26,,28",1,1002,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,4,5,6,,8,,",
w163857022331535,2,,2,3,9,21,3,4,"1,2,,4,5,6,,8,9,,11,12,,,15,16,,,19,20,,22,23,24,25,26,,28",2,2005,1,1,프라이드,"1,2,3,,","1,2,3,4,5,6,,8,9,10,11,,13,,15,16,17,18,19,20,,22,,,25,,27,28,29,",,"1,2,3,,5",,"1,2,3,4,5,6,,8,,",
w273370228494887,2,,2,4,1,8,,,"1,2,,4,5,,7,,9,,,12,,,,,,18,,,,22,,,25,,,",2,2007,1,1,프라이드,"1,2,,,","1,2,3,,5,,,8,9,,,,,,15,16,,18,19,20,,,,24,,,,,,",,",2,,,",,"1,2,3,4,5,6,,8,,",
w212631838865232,1,,1,3,4,8,3,3,",2,,4,5,,7,8,,,11,,,,,,,18,,20,,22,23,24,25,26,27,28",1,1008,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,3,,5,6,7,,,",
w296140644131377,1,,3,1,13,,1,6,"1,2,3,4,5,6,7,,9,,11,,,,,,,18,,20,,22,23,24,,,27,",1,1006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,9,",청주
w444792241055726,1,,4,1,고등학생,고등학생,1,4,"1,2,3,4,5,6,7,8,,,11,,,,,,,18,,,,22,23,24,25,26,,28",1,1006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,,,,,,,",
w6321728403226,1,,3,3,프리랜서,프리랜서,1,2,"1,2,,4,,,,,9,,,,,,,,,,,,,22,23,,25,26,,",1,1006,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,,,,,,,,10",
w88386122060516,1,,3,3,무직,무직,1,1,"1,2,3,4,5,6,,8,9,,11,12,,,15,,,,,20,,,23,24,25,26,,",1,1001,1,1,프라이드,"1,2,,,",",2,,,,,,,,,,,,,15,,,,,,,,,,,,,,,",,"1,,,,",,"1,2,,4,,6,,,,",
w130852085084102,1,,2,1,8,21,3,3,"1,2,3,4,5,,,,9,,,,,,,,,,,,,,,24,,,,",2,2007,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,"1,2,,4,,,,,9,",하이볼
w137684772694176,1,,1,1,4,21,3,3,"1,2,,4,5,6,7,,9,,11,,,14,,,,18,,20,,22,23,24,25,26,,28",2,2001,1,1,프라이드,"1,,,,",",,,,,,,,,,,,,,15,,,,,,,,,,,,,,,",,",,,,",,",2,,,,,,,,",
w167451881265806,1,,1,3,1,8,5,5,",2,,4,5,,,,9,,,,,,,,17,18,,20,,22,,,,,,",2,2003,1,1,프라이드,",,,,5",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,",,,,",,",,3,,,,,,,",
